,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
1063,76767.02,691.4123
1064,76767.02,0.0
1070,76767.02,1382.8246
1077,52894.688,3457.0615000000003
1078,52894.688,0.0
1084,52858.47,4148.4735
1085,52858.47,0.0
1091,49545.582,3457.0615000000003
1092,49545.582,0.0
1098,49545.582,1382.8246
1103,49545.582,691.4123
1133,0.0,4839.8859999999995
1134,0.0,0.0
1140,0.0,5531.2985
1145,0.0,691.4123
1154,0.0,1382.8246
1182,0.0,2765.6492
1336,0.0,8988.36
1358,60.0,2121929.6
1359,78.0,1768274.7000000002
1360,42.0,1414619.7
1361,61.0,1768274.7000000002
1362,36.0,1414619.7
1363,42.0,1768274.7000000002
1364,36.0,2475584.5
1366,30.0,2121929.6
1367,1348.0,3219929.5
1368,1128.0,3219929.5
1369,3461.0,1414619.7
1370,2302.0,2829239.4
1371,5356.0,3219929.5
1372,2900.0,3219929.5
1373,1827.0,3219929.5
1374,13925.0,2829239.4
1375,19525.0,2121929.6
1376,16617.0,3219929.5
1377,17023.0,2829239.4
1378,13010.0,2121929.6
1379,7386.0,2121929.6
1380,13826.0,3182894.5
1381,14880.0,3182894.5
1382,10791.0,3182894.5
1383,10163.0,3182894.5
1384,8134.0,2829239.4
1385,6134.0,2121929.6
1386,13685.0,2475584.5
1387,10134.0,1768274.7000000002
1388,10218.0,1414619.7
1389,8065.0,707309.84
1390,13029.0,1060964.8
1391,4066.0,707309.84
1392,22075.0,1768274.7000000002
1393,10923.0,2121929.6
1394,8353.0,1768274.7000000002
1395,8713.0,2121929.6
1396,8236.0,2121929.6
1397,16773.0,353654.92
1398,19620.0,1414619.7
1399,23655.0,1060964.8
1400,17125.0,1060964.8
1401,19886.0,353654.92
1402,19197.0,707309.84
1403,15642.0,1060964.8
1404,13467.0,353654.92
1405,11073.0,1060964.8
1406,3234.0,707309.84
1407,12959.0,1060964.8
1408,9548.0,353654.92
1409,10169.0,1414619.7
1410,5662.0,1414619.7
1411,14992.0,1060964.8
1412,8864.0,1060964.8
1414,5932.0,353654.92
1415,5103.0,707309.84
1416,8519.0,353654.92
1417,10057.0,707309.84
1418,4257.0,353654.92
1419,3881.0,353654.92
1420,5058.0,0.0
1421,6310.0,0.0
1422,6564.0,353654.92
1423,6497.0,0.0
1424,7228.0,0.0
1425,4587.0,0.0
1426,1562.0,353654.92
1427,6105.0,0.0
1428,5895.0,0.0
1429,5797.0,0.0
1430,8401.0,353654.92
1431,9140.0,0.0
1432,11377.0,0.0
1433,11445.0,353654.92
1434,10012.0,0.0
1435,12059.0,0.0
1436,12536.0,0.0
1437,6452.0,0.0
1438,7013.0,0.0
1439,5531.0,0.0
1440,5982.0,0.0
1441,5600.0,0.0
1442,5634.0,0.0
1443,5257.0,0.0
1444,4854.0,0.0
1445,1394.0,0.0
1446,6432.0,0.0
1447,6433.0,0.0
1448,7832.0,0.0
1449,8609.0,0.0
1450,7934.0,0.0
1451,7093.0,0.0
1452,2230.0,0.0
